{x=4,m=211,a=430,s=167}
{x=469,m=1450,a=3037,s=1084}
{x=90,m=929,a=457,s=661}
{x=1411,m=2566,a=1085,s=162}
{x=770,m=1427,a=132,s=385}
{x=213,m=1476,a=443,s=1024}
{x=1845,m=1234,a=2052,s=528}
{x=261,m=330,a=2087,s=3049}
{x=2520,m=545,a=2023,s=1094}
{x=687,m=1369,a=716,s=194}
{x=1260,m=534,a=959,s=1228}
{x=1681,m=824,a=31,s=536}
{x=1469,m=527,a=732,s=28}
{x=1385,m=318,a=812,s=849}
{x=43,m=2439,a=943,s=1751}
{x=1281,m=992,a=1310,s=181}
{x=1442,m=772,a=529,s=835}
{x=2938,m=1243,a=129,s=149}
{x=135,m=1141,a=2930,s=233}
{x=1183,m=503,a=17,s=794}
{x=1365,m=674,a=1118,s=466}
{x=1797,m=3174,a=94,s=478}
{x=673,m=39,a=1324,s=2}
{x=179,m=525,a=1441,s=240}
{x=160,m=131,a=569,s=116}
{x=6,m=2905,a=2176,s=692}
{x=535,m=136,a=976,s=659}
{x=48,m=452,a=456,s=111}
{x=91,m=752,a=83,s=462}
{x=498,m=2390,a=823,s=1728}
{x=87,m=463,a=1934,s=290}
{x=1089,m=340,a=767,s=325}
{x=2231,m=618,a=188,s=2526}
{x=949,m=778,a=796,s=3}
{x=221,m=834,a=978,s=2262}
{x=47,m=1045,a=770,s=2395}
{x=1588,m=1497,a=2445,s=2042}
{x=328,m=3727,a=965,s=101}
{x=983,m=21,a=2960,s=1218}
{x=1257,m=568,a=116,s=931}
{x=115,m=935,a=672,s=8}
{x=1232,m=683,a=524,s=1018}
{x=2056,m=55,a=151,s=47}
{x=2274,m=3,a=1274,s=1394}
{x=820,m=257,a=2131,s=52}
{x=77,m=786,a=1227,s=909}
{x=1257,m=1794,a=1188,s=164}
{x=41,m=148,a=2604,s=2708}
{x=959,m=342,a=79,s=867}
{x=469,m=1603,a=256,s=1002}
{x=1327,m=237,a=1347,s=2324}
{x=78,m=3089,a=421,s=3047}
{x=906,m=198,a=1236,s=975}
{x=1058,m=722,a=2347,s=1361}
{x=915,m=1370,a=1440,s=1965}
{x=5,m=314,a=394,s=108}
{x=3398,m=1630,a=482,s=120}
{x=1554,m=93,a=1116,s=2315}
{x=1690,m=39,a=2643,s=1211}
{x=939,m=2613,a=3295,s=186}
{x=840,m=2014,a=3302,s=459}
{x=43,m=232,a=964,s=87}
{x=667,m=497,a=1160,s=495}
{x=2706,m=2042,a=2244,s=483}
{x=975,m=449,a=930,s=1339}
{x=1151,m=1834,a=527,s=1691}
{x=250,m=134,a=49,s=516}
{x=1483,m=1059,a=218,s=1478}
{x=226,m=66,a=61,s=558}
{x=308,m=174,a=40,s=234}
{x=405,m=133,a=112,s=788}
{x=98,m=1228,a=566,s=141}
{x=114,m=107,a=3002,s=156}
{x=108,m=246,a=635,s=107}
{x=999,m=2323,a=1085,s=742}
{x=2503,m=652,a=431,s=349}
{x=2282,m=189,a=980,s=109}
{x=694,m=647,a=100,s=93}
{x=2799,m=2992,a=2464,s=1168}
{x=124,m=2107,a=3773,s=275}
{x=1483,m=317,a=101,s=549}
{x=1336,m=1202,a=391,s=1762}
{x=432,m=1018,a=607,s=2628}
{x=107,m=1890,a=1284,s=136}
{x=1058,m=2632,a=715,s=573}
{x=44,m=1094,a=1008,s=320}
{x=895,m=505,a=72,s=82}
{x=2687,m=1993,a=1872,s=1213}
{x=2894,m=477,a=981,s=2140}
{x=3112,m=998,a=161,s=790}
{x=701,m=173,a=228,s=692}
{x=181,m=1880,a=1149,s=2655}
{x=1738,m=25,a=1689,s=664}
{x=326,m=639,a=898,s=2477}
{x=768,m=190,a=798,s=75}
{x=1039,m=910,a=220,s=447}
{x=3467,m=116,a=2314,s=1479}
{x=1658,m=41,a=1785,s=2015}
{x=954,m=975,a=1251,s=2291}
{x=1800,m=1086,a=89,s=448}
{x=3594,m=230,a=448,s=192}
{x=451,m=1579,a=112,s=585}
{x=2087,m=600,a=1780,s=3617}
{x=1922,m=3067,a=2375,s=273}
{x=3346,m=2213,a=1478,s=294}
{x=285,m=22,a=2823,s=1645}
{x=393,m=471,a=180,s=259}
{x=1531,m=1343,a=962,s=766}
{x=224,m=442,a=246,s=26}
{x=104,m=2282,a=249,s=703}
{x=235,m=3230,a=958,s=1576}
{x=618,m=535,a=1359,s=116}
{x=887,m=1569,a=697,s=634}
{x=2988,m=56,a=165,s=1516}
{x=431,m=485,a=3671,s=3}
{x=320,m=835,a=1176,s=821}
{x=303,m=1070,a=908,s=2023}
{x=1821,m=805,a=32,s=826}
{x=1026,m=208,a=495,s=31}
{x=68,m=1034,a=776,s=1527}
{x=2130,m=2428,a=295,s=2667}
{x=2172,m=2671,a=1253,s=1171}
{x=260,m=268,a=287,s=2112}
{x=670,m=1720,a=2780,s=1252}
{x=1342,m=1103,a=29,s=1807}
{x=26,m=633,a=1111,s=1011}
{x=286,m=281,a=1693,s=19}
{x=334,m=339,a=1664,s=695}
{x=264,m=73,a=671,s=494}
{x=628,m=2637,a=193,s=11}
{x=581,m=1288,a=13,s=1968}
{x=2739,m=423,a=276,s=235}
{x=58,m=853,a=2449,s=403}
{x=1372,m=1674,a=530,s=348}
{x=1203,m=612,a=2013,s=927}
{x=2071,m=38,a=873,s=807}
{x=3006,m=484,a=1048,s=1820}
{x=2648,m=1457,a=119,s=1726}
{x=1452,m=269,a=158,s=1565}
{x=1251,m=2330,a=153,s=1006}
{x=1092,m=2264,a=122,s=2840}
{x=422,m=562,a=555,s=897}
{x=280,m=937,a=1348,s=1518}
{x=313,m=1531,a=1959,s=633}
{x=1288,m=1598,a=880,s=2325}
{x=1895,m=104,a=3321,s=501}
{x=1924,m=4,a=452,s=2542}
{x=2907,m=1684,a=358,s=212}
{x=1620,m=593,a=795,s=1268}
{x=1041,m=1848,a=643,s=894}
{x=436,m=13,a=2,s=35}
{x=2010,m=88,a=444,s=711}
{x=161,m=412,a=99,s=262}
{x=757,m=1129,a=914,s=3258}
{x=2688,m=76,a=1494,s=1868}
{x=96,m=976,a=1875,s=747}
{x=1358,m=489,a=1478,s=472}
{x=981,m=1761,a=828,s=36}
{x=2085,m=1122,a=1635,s=80}
{x=2,m=1466,a=73,s=366}
{x=1798,m=748,a=251,s=33}
{x=370,m=3060,a=452,s=69}
{x=608,m=1287,a=583,s=484}
{x=1077,m=1238,a=541,s=2277}
{x=1465,m=726,a=235,s=416}
{x=429,m=995,a=1610,s=1557}
{x=152,m=2480,a=309,s=355}
{x=1418,m=357,a=1360,s=18}
{x=569,m=425,a=1511,s=385}
{x=1116,m=2349,a=1539,s=2429}
{x=185,m=1187,a=2544,s=357}
{x=1134,m=231,a=209,s=650}
{x=1007,m=88,a=195,s=1443}
{x=38,m=179,a=1868,s=994}
{x=264,m=616,a=397,s=922}
{x=153,m=2015,a=3754,s=1093}
{x=1284,m=201,a=324,s=1085}
{x=21,m=2025,a=13,s=1510}
{x=268,m=760,a=1173,s=1210}
{x=1563,m=2290,a=260,s=2754}
{x=65,m=3398,a=1110,s=320}
